fa_jahr;gnr;gname;mwb_bj3_bj5;mStf;ordSt;nachSt;persSt;grstSt;handSt;erbSt;motfSt;konz;nve_mit;korr;rp_total;rp_pEinw;ri;MA;fehlRess;hFA_absch;bs_ra_proz;bs_ra_fr;ra
2021;1007;Romoos;669.33333333;2.1333509491;745772.9718;1541.3;9083.3333333;27474.983333;16213.366667;927.2;78258.666667;26400.498333;43414.093333;0;949086.41347;1417.957789;41.487616195;86.4;1027433;0;0;0;1027433
2021;1008;Schüpfheim;4185.1666667;2.1818279746;7488239.5313;29949.3;58316.666667;185697.26667;219039.73333;49184.116667;148051.66667;106552.47667;145327.22;0;8430357.978;2014.3422352;58.937055944;86.4;3928300;0;0;0;3928300
2021;1009;Werthenstein;2079.3333333;2.4;4240206.2142;10433.466667;27916.666667;192848.68333;192000.36667;17947.5;67566.666667;74541.855;98870.266667;0;4922331.6859;2367.2643568;69.263102066;86.4;1217871;0;0;0;1217871
2021;1021;Aesch;1171;2.029568834;3517674.4079;14035.483333;18045.733333;83643.566667;112190.5;12315.216667;31932.666667;31458.813333;46503.9;0;3867800.2879;3302.9891443;96.641202561;86.4;0;123346;0;0;0
2021;1023;Ballwil;2778.6666667;1.6;6981816.2143;5270.0833333;38208.333333;183060.53333;119122.73333;17218.483333;68953.333333;64196.941667;1092888.56;0;8570735.216;3084.4776449;90.2478379;86.4;0;109969;0;0;0
2021;1024;Emmen;30412;2.1162813499;65301759.159;358457.21667;420908.33333;2217475.7667;1371692.9167;499943.43333;619845;747208;0;418764;71956053.825;2366.041491;69.227322591;86.4;17849572;0;0;0;17849572
2021;1025;Ermensee;960;2.2;2213126.6611;2070.15;13175;167205.78333;95167.266667;5846.3333333;27938.666667;22428.723333;0;0;2546958.5844;2653.0818587;77.625753559;86.4;287890;0;0;0;287890
2021;1026;Eschenbach;3631.1666667;1.5;10217339.776;265911.11667;51275;282652.13333;192598.56667;9647.3333333;94056.333333;77658.265;2345245.01;0;13536383.534;3727.8331669;109.07159075;86.4;0;682876;0;0;0
2021;1030;Hitzkirch;5633.5;2.1552707762;14097330.191;121311.35;75685;357715.85;408848.48333;61067.1;163107.33333;150032.58667;0;0;15435097.895;2739.8771447;80.165271689;86.4;1200441;0;1.95;375358;1575799
2021;1031;Hochdorf;9810.5;2.1;23280996.945;49745.716667;136050;845675.9;571626.56667;322046.05;207385.66667;162044.905;242705.40333;0;25818277.153;2631.6984;77.000101134;86.4;3151804;0;0;0;3151804
2021;1032;Hohenrain;2494;2.2178458286;5641384.7226;9184.8166667;32975;67634.416667;37624.95;0;90048;57613.676667;0;0;5936465.5826;2380.2989505;69.644477468;86.4;1428234;0;0;0;1428234
2021;1033;Inwil;2503.1666667;1.9;6519132.8661;26034.066667;33450;496131.33333;185545.08333;454.33333333;65735.333333;74113.373333;198951.28667;823.975;7600371.6511;3036.302677;88.838300471;86.4;0;62776;0;0;0
2021;1037;Rain;2701;1.9;7293093.8742;20420.383333;35916.666667;237744.36667;148808.56667;66462.8;67455;60816.758333;9960.74;0;7940679.1559;2939.9034268;86.017782734;86.4;35284;0;0;0;35284
2021;1039;Römerswil;1759.8333333;2.15;3645519.7379;16879.166667;23816.666667;105905.88333;97707.266667;18662.233333;64013.666667;40150.076667;12569.326667;0;4025224.0246;2287.2757029;66.922737214;86.4;1171505;0;0;0;1171505
2021;1040;Rothenburg;7492.6666667;1.9;21324875.937;42755.283333;103305;733216.88333;708748.55;101133.01667;171092.66667;190356.475;895858.40333;1163.225;24272505.44;3239.5015713;94.783638055;86.4;0;646078;0;0;0
2021;1041;Schongau;1029.8333333;2.132169234;2279199.6757;3557.3;14133.333333;116837.6;63041.433333;21011.9;41528.666667;31465.761667;83168.38;0;2653944.0507;2577.0617097;75.40150204;86.4;387120;0;0;0;387120
2021;1051;Adligenswil;5354.8333333;2.1;16562662.703;106663.71667;73600;1110497.6;334905.46667;74364.5;116419;114106.65833;1260362.6367;0;19753582.281;3688.925696;107.93320833;86.4;0;969410;0;0;0
2021;1052;Buchrain;6165;2;16000429.688;46732.416667;83050;657190.73333;389286.9;288804.05;128304.66667;117463.27167;0;0;17711261.726;2872.8729483;84.056557379;86.4;493779;0;0;0;493779
2021;1053;Dierikon;1480.1666667;1.9325709896;5127667.8077;4027.0166667;20729.033333;257738.48333;172133.81667;241.93333333;33365.666667;47660.063333;686307.96667;0;6349871.7877;4289.9708058;125.51901309;86.4;0;428596;0;0;0
2021;1054;Ebikon;13401.833333;1.9;36224277.054;114156.26667;192850;1019201.7667;934840.23333;202308.48667;274016;261048.90167;1392208.8133;0;40614907.522;3030.5486206;88.6699442;86.4;0;312893;0;0;0
2021;1055;Gisikon;1302;1.7;4344575.3243;-1006.5;18783.333333;41182.816667;255981.63333;0;25984.666667;25053.048333;189469.46333;0;4900023.7859;3763.459129;110.11396045;86.4;0;253229;0;0;0
